"연번","지정번호","기관명","소재지","전화번호","의료기관종류"
"282","2010-342","수여성병원","경기도 수원시 권선구 고색동 886-88","031-8012-7000","병원"
"283","2011-01","호아맘산부인과","서울시 성동구 마장동 520-18","02-2291-2266","의원"
"284","2011-02","이찬응산부인과","경북 영주시 광복로 90(하망동)","054-631-2011","의원"
"285","2011-04","메디플라워여성의원","서울시 서초구 서초동 1656-4 롯데캐슬메디치2층","02-548-9400","의원"
"286","2011-05","대진의료재단 분당제생병원","경기도 성남시 분당구 서현동 255-2","031-779-0266","종합병원"
"287","2011-06","마이비 산부인과의원","인천시 남동구 논현동 632-2 아이플렉스빌딩 7층","032-424-7007","의원"
"288","2011-07","다사랑산부인과의원","서울 강동구 성내동 244-3","02-484-0868","의원"
"289","2011-08","미래산부인과의원","충북 진천군 진천읍 중앙북1길 11-2(읍내리)","043-533-1223","의원"
"290","2011-09","서울특별시보라매병원","서울시 동작구 보라매길 39","02-870-3535","종합병원"
"291","2011-10","엘르메디여성의원","경남 거제시 거제중앙로 1925","055-638-0038","의원"
"292","2011-11","모란여성병원","경남 창원시 성산구 마디미서로 56","055-253-3555","병원"
"293","2011-13","정읍아산병원","전북 정읍시 충정로 606-22","063-530-6622","병원"
"294","2011-14","우리기쁜산부인과","서울시 성북구 종암동 124-129","02-2039-1000","의원"
"295","2011-15","서울라헬여성의원","서울시 마포구 마포대로 109, 2~3층(롯데캐슬 프레지던트)","02-3286-7500","의원"
"296","2011-16","주영산부인과의원","울산시 남구 삼산로 136, 4층","052-257-3935","의원"
"297","2011-18","미즈앤맘여성병원","경북 포항시 북구 장량로 36","054-250-3500","병원"
"298","2011-19","리즈앤마리안산부인과의원","충남 천안시 서북구 두정로 204","041-523-6100","의원"
"299","2011-20","예산종합병원","충남 예산군 예산읍 산성리 189-2","041-330-4000","병원"
"300","2011-21","맘스여성병원","울산시 중구 남외2길 36","052-290-6000","병원"
"301","2011-23","참조은산부인과의원","경남 진주시 신안동 423번지","055-741-5151","의원"
"302","2012-01","수목여성의원","경기도 수원시 영통구 반달로 7번길 16 e폴리스빌딩 8층","031-205-8999","의원"
"303","2012-02","우리들산부인과의원","전남 여수시 여서동 240-3번지","061-655-3535","의원"
"304","2012-03","미즈여성아동병원","전남 순천시 조례1길 10-26","061-720-8000","병원"
"305","2012-05","윈산부인과병원","경기도 수원시 영통구 봉영로 1759번길 32","031-201-9813","병원"
"306","2012-06","포유문산부인과의원","서울시 송파구 가락동 94-3","02-443-1600","의원"
"307","2012-07","나무정원산부인과","경기도 양주시 평화로 1489번길 19-11","031-859-1231","개인병원"
"308","2012-10","서울아가온여성의원","서울시 구로구 디지털로 32길 79","02-864-7500","의원"
"309","2012-11","예수병원","전북 전주시 완산구 서원로 365","063-230-1500","종합병원"
"310","2012-13","(의)브니엘의료재단 온종합병원","부산시 부산진구 가야대로 721","051-607-0114","종합병원"
"311","2012-14","엘리움병원","부산광역시 해운대구 해운대로 794 9,10,11층(좌동, 엘리움BD)","051-929-5000","병원"
"312","2012-15","삼성미래여성병원","서울시 구로구 오류동 159번지","02-2682-2100","병원"
"313","2012-16","삼성미즈병원","충남 아산시 배방읍 장재리 1781","041-903-2277","의원"
"314","2012-18","미즈아이산부인과","경기도 부천시 소사구 괴안동 111-46","032-347-3500","산부인과"
"315","2012-19","더블유 여성병원","대전시 서구 문정로48번길 70(탄방동)","042-485-7777","병원"
"316","2012-20","뉴본여성의원","부산시 사하구 괴정1동 932-25","051-291-7777","의원"
"317","2012-01","리앤아이산부인과의원","인천시 남동구 논고개로 71번지 가산타워 3,4층","032-270-7777","의원"
"318","2012-02","세가온 산부인과의원","강원도 강릉시 교2동 723-7","033-643-7114","의원"
"319","2012-03","봄산부인과의원","서울시 서대문구 통일로 39가길 30 (홍제동)","02-394-7575","의원"
"320","2012-04","미즈파크산부인과의원","경기도 화성시 능동 1114-4","031-8003-7575","의원"
"321","2012-06","미소래병원","경기도 파주시 금정 7길 29","031-946-0202","병원"
"322","2012-08","다온미래산부인과","충남 아산시 배방읍 공수리 배방공수지구 24블럭 5로트(다온팰리스 501호, 601호)","041-549-3582","의원"
"323","2012-09","효산의료재단 안양샘병원","경기도 안양시 만안구 삼덕로 9","031-467-9114,9749","종합병원"
"324","2012-10","우리여성병원","경남 김해시 내외중앙로 91(내동)","070-8655-7013","병원"
"325","2012-11","김숙경 산부인과","서울시 강남구 대치동 936 해바라기상가 301호","02-567-7594","의원"
"326","2013-15","제일여성병원","인천시 남구 인주대로 400","032-451-0000(021)","병원"
"327","2013-16","은혜산부인과","서울시 은평구 대조동 38-19","02-353-4307","의원"
"328","2013-17","엠여성의원","서울시 강남구 테헤란로 407 EK타워 12층","02-6188-0081","의원"
"329","2013-18","이화여성아동의원","부산시 남구 수영로 216(대연동)","051-628-9888","의원"
"330","2013-19","미즈맘여성의원","경남 거제시 거제중앙로 1729","055-688-9123","의원"
"331","2013-20","장태기드림산부인과","경북 구미시 신시로 59, (형곡동)","054-457-6699","의원"
"332","2014-01","압구정함춘산부인과의원","서울시 강남구 신사동 600-3 5층","02-3445-0789","의원"
"333","2014-02","도곡함춘산부인과의원","서울시 강남구 논현로 142(도곡동, 동현빌딩)","1661-9722","의원"
"334","2014-03","세원산부인과의원","경기도 수원시 권선구 경수대로 287","031-225-1020","의원"
"335","2014-04","동탄제일병원","경기도 화성시 삼성1로 144-6","-","법인"
"336","2014-05","편안한산부인과","경기도 부천시 소사구 심곡본동 588 라비앙로제 2층","032-661-0050","산부인과"
"337","2014-06","박지현 산부인과","광주광역시 광산구 장신로 77, 5층","062-415-8800","의원"
"338","2014-07","이룸여성의원","부산시 부산진구 서면로 25 서면삼한골든뷰 602","051-803-2616","의원"
"339","2014-08","아이앤젤산부인과","부산시 기장군 정관읍 정관로 613 더존빌딩 2층","051-722-3579","의원"
"340","2014-09","제이산부인과의원","제주특별자치도 제주시 연북로 38","064-747-9100","의원"
"341","2014-10","마리산부인과","제주특별자치도 제주시 고마로 146(이도이동)","064-755-2544","의원"
"342","2014-11","연세아이소망의원","경기도 안산시 단원구 고잔로 102, 501~504호","031-365-5245","의원"
"343","2014-12","지엔산부인과의원","경기도 평택시 비전5로 3","070-4890-5895","의원"
"344","2014-13","퀸스메디산부인과","서울시 노원구 공릉동 398-23","02-948-7588","의원"
"345","2014-14","엘산부인과","제주특별자치도 제주시 서광로 175(용담일동)","064-726-6555","의원"
"346","2014-15","연세순풍산부인과","강원도 원주시 천사로 50","033-745-0199","의원"
"347","2014-16","한마음병원","제주특별자치도 제주시 연신로 52(이도이동)","064-750-9255","병원"
"348","2014-17","퀸스산부인과의원","충남 천안시 서북구 성정공원1길 9-13","041-902-6177","의원"
"349","2014-18","미르피아여성병원","전북 전주시 완산구 쑥고개로 343","063-211-1004","병원"
"350","2014-19","사랑아이여성의원","서울시 송파구 백제고분로 69 애플타워 3층","02-419-7501","의원"
"351","2014-20","라온산부인과의원","대전시 동구 동구청로 89-2 (가오동,J타워 9~10F)","042-273-3575","의원"
"352","2014-21","아이앤맘산부인과의원","강원도 강릉시 옥가로 21, 4,5층(옥천동)","033-648-8114","의원"
"353","2015-01","용인제일산부인과의원","경기도 용인시 처인구 중부대로 1347(김량장동)","031-8031-0200","의원"
"354","2015-03","청라여성병원","인천시 서구 중봉대로 602(연희동)","032-716-6000","병원"
"355","2015-04","의료법인 마리아의료재단 상봉마리아의원","서울시 중랑구 망우로 267","02-2218-7555","의원"
"356","2015-05","(학)울산공업학원 울산대학교병원","울산시 동구 방어진 순환도로 877","052-250-7160","3차상급병원"
"357","2015-06","(의)양진의료재단 평택성모병원","경기도 평택시 평택로 284","070-5012-3373","종합병원"
"358","2015-07","검단서울여성의원","인천시 서구 청마로19번길 20 (당하동)","070-4550-5486","의원"
"359","2015-08","미즈여성의원","경남 진주시 순환로 527 좋은메디칼빌딩 9층","055-745-7711","의원"
"360","2015-09","한별여성병원","전북 전주시 덕진구 견훤로 215","063-244-3559","병원"
"361","2015-10","차여성의원","서울시 중구 한강대로 416 서울스퀘어 2층","02-2002-0300","의원"
"362","2016-01","메디피아산부인과의원","경기도 남양주시 경춘로 1511(호평동)","031-595-8400","의원"
"363","2016-02","아이소망 산부인과","인천시 남구 미추로 56","032-883-3643","의원"
"364","2016-03","연세더블유산부인과의원","서울시 마포구 양화로 48, 4층(합정동)","02-334-2330","의원"
"365","2016-04","에델여성의원","경남 양산시 물금읍 야리로 127","055-912-0300","의원"
"366","2016-05","일신엘여성의원","부산시 북구 금곡대로 287, 902호(화명동, 삼한골든뷰)","051-714-6083","의원"
"367","2016-06","국립중앙의료원","서울시 중구 을지로 245(을지로 6가)","02-2260-7114","종합병원"
"368","2016-07","(의)삼성의료재단 강북삼성병원","서울특별시 종로구 새문안로 29","1599-8114, 02-2001-2814","종합병원"
"369","2016-08","드림아이여성의원","충청남도 아산시 배방읍 희망로 46번길 45-17","041-533-6200","의원"
"370","2016-09","충청남도홍성의료원","충청남도 홍성군 홍성읍 조양로 224","041-630-6114","종합병원"
"371","2016-10","엠제이산부인과의원","서울특별시 금천구 두산로 81","02-2109-3000","의원"
"372","2016-11","디온여성의원","경기도 화성시 동탄오산로 82, 10층(오산동, 동탄역퍼스트프라자)","031-304-0060","의원"
"373","2017-01","미즈의원","대전광역시 서구 문정로 2번길 95","042-488-2255","의원"
"374","2017-02","미래연여성의원","서울특별시 송파구 올릭픽로35다길 42, 한국루터회관 2층 202호","02-6012-2220","의원"
